Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1-Jun-23,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار العقارى,2358.00,7001
1-Jun-23,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,27361.00,7003
1-Jun-23,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار العقارى,1386.00,7006
1-Jun-23,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار العقارى,774.00,7008
1-Jun-23,2219,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات الغاء وحده مباعه بالمشروع - فسخ تعاقد الوحده 9 عمارة 159,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,-1123000.00,7003
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه النمسا,مركز شرطه النمسا,المقاولات,-121468.68,4144
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه حجازة,مركز شرطه حجازة,المقاولات,-716800.61,4143
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه جراجوس,مركز شرطه جراجوس,المقاولات,-682218.02,4145
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه الرمادى,مركز شرطه الرمادى,المقاولات,-321732.17,4138
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه المطاعنه,مركز شرطه المطاعنه,المقاولات,-1123230.88,4139
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه القناطر,مركز شرطه القناطر,المقاولات,-15123.28,4142
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه الرديسه,مركز شرطه الرديسه,المقاولات,1419228.52,4137
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه البوصيليه,مركز شرطه البوصيليه,المقاولات,1560291.75,4141
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه كلابشه,مركز شرطه كلابشه,المقاولات,2169487.74,4140
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه النخيله,مركز شرطه النخيله,المقاولات,1347761.65,4148
1-Jun-23,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه الاحوال المدنيه,مركز شرطه الاحوال المدنيه,المقاولات,277403.93,4146
1-Jun-23,2234,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات من 19 الى 22 بعد الصرف,محطه الهنادى - الأقصر,محطه الهنادى - الأقصر,المقاولات,67658641.55,4100
1-Jun-23,2235,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,تطوير كورنيش المقطم,تطوير كورنيش المقطم,المقاولات,707552.38,4151
1-Jun-23,2236,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,رامبات الضبعة - الساحل الشمالي ,رامبات الضبعة - الساحل الشمالي ,المقاولات,-1177697.14,4133
1-Jun-23,2237,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,نفق 26 يوليو,نفق 26 يوليو,المقاولات,6071267.62,4131
1-Jun-23,2238,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,نفق رقم 5 إمتداد الساحلي,نفق رقم 5 إمتداد الساحلي,المقاولات,8944109.00,4153
1-Jun-23,2239,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 2 قبل الصرف + مستخلصات ميزانيه ,مستقبل مصر,مستقبل مصر,المقاولات,109014269.71,4125
1-Jun-23,2240,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,مستقبل مصر 2 - القوات الجويه,مستقبل مصر 2 - القوات الجويه,المقاولات,22366847.60,4149
1-Jun-23,2241,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,الوحده الصحيه قريه الصهريج - اسيوط,الوحده الصحيه قريه الصهريج - اسيوط,المقاولات,188500.00,4154
1-Jun-23,2242,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,الوحده الصحيه قريه العزيه - اسيوط,الوحده الصحيه قريه العزيه - اسيوط,المقاولات,1072000.00,4155
1-Jun-23,2243,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص جارى 1 بعد الصرف,الوحده الصحيه قريه الحواتكه - اسيوط,الوحده الصحيه قريه الحواتكه - اسيوط,المقاولات,1914380.95,4156
1-Jun-23,2244,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,سجن سوهاج المطور,سجن سوهاج المطور,المقاولات,102418131.86,4126
1-Jun-23,2245,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,كوبرى جمصه,كوبرى جمصه,المقاولات,24798121.70,4117
1-Jun-23,2246,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,كوبرى ناهيا,كوبرى ناهيا,المقاولات,109499375.28,4163
1-Jun-23,2247,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلص 8 قبل الصرف,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,11803635.99,4132
